iter	Passed	Remaining
0	37	14989
1	72	14445
2	105	14007
3	134	13272
4	164	12992
5	195	12853
6	233	13090
7	275	13476
8	314	13647
9	353	13798
10	390	13825
11	435	14082
12	473	14096
13	527	14553
14	565	14522
15	604	14506
16	644	14511
17	684	14523
18	720	14454
19	763	14515
20	806	14564
21	853	14656
22	905	14843
23	951	14905
24	992	14881
25	1036	14911
26	1080	14924
27	1124	14935
28	1164	14891
29	1198	14783
30	1246	14835
31	1288	14815
32	1333	14826
33	1374	14791
34	1415	14765
35	1460	14770
36	1503	14751
37	1544	14716
38	1584	14662
39	1628	14658
40	1674	14657
41	1715	14624
42	1759	14610
43	1807	14624
44	1849	14586
45	1892	14564
46	1934	14527
47	1975	14486
48	2014	14427
49	2051	14363
50	2092	14320
51	2131	14261
52	2173	14232
53	2214	14188
54	2255	14151
55	2296	14109
56	2338	14069
57	2377	14018
58	2420	13990
59	2459	13937
60	2506	13927
61	2547	13886
62	2587	13842
63	2626	13788
64	2667	13746
65	2707	13700
66	2749	13663
67	2792	13635
68	2833	13590
69	2870	13532
70	2907	13472
71	2949	13435
72	2991	13401
73	3031	13356
74	3071	13310
75	3103	13230
76	3141	13178
77	3182	13136
78	3223	13096
79	3264	13057
80	3301	13002
81	3347	12980
82	3378	12904
83	3424	12880
84	3467	12848
85	3507	12805
86	3546	12760
87	3584	12709
88	3624	12666
89	3669	12637
90	3709	12596
91	3753	12565
92	3798	12538
93	3838	12493
94	3881	12462
95	3924	12426
96	3965	12386
97	4006	12347
98	4045	12299
99	4085	12255
100	4127	12219
101	4169	12182
102	4213	12149
103	4255	12111
104	4297	12073
105	4336	12026
106	4377	11985
107	4423	11958
108	4470	11935
109	4512	11897
110	4560	11873
111	4600	11828
112	4642	11792
113	4688	11763
114	4733	11731
115	4776	11693
116	4821	11662
117	4862	11620
118	4900	11572
119	4939	11525
120	4984	11493
121	5028	11457
122	5065	11408
123	5101	11354
124	5132	11291
125	5173	11250
126	5216	11212
127	5259	11176
128	5287	11107
129	5325	11060
130	5372	11031
131	5419	11003
132	5467	10976
133	5501	10920
134	5538	10872
135	5583	10839
136	5629	10806
137	5675	10775
138	5717	10735
139	5761	10699
140	5795	10645
141	5832	10597
142	5872	10554
143	5918	10521
144	5959	10480
145	5998	10436
146	6031	10379
147	6071	10338
148	6112	10297
149	6151	10251
150	6188	10205
151	6225	10157
152	6269	10121
153	6314	10086
154	6355	10046
155	6402	10014
156	6433	9956
157	6470	9910
158	6512	9870
159	6543	9814
160	6581	9770
161	6628	9737
162	6670	9699
163	6711	9657
164	6751	9615
165	6783	9562
166	6813	9506
167	6863	9477
168	6899	9430
169	6939	9388
170	6976	9343
171	7016	9301
172	7046	9245
173	7092	9212
174	7141	9181
175	7185	9144
176	7228	9106
177	7288	9090
178	7330	9051
179	7361	8997
180	7406	8961
181	7449	8922
182	7480	8870
183	7518	8826
